Samples,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_acc2,y_acc2,z_acc2,x_mag,y_mag,z_mag
313,-6,282,1087,-64820,5040,3710,290,-32,1108,-585,34,-435
314,10,259,1097,-72170,7630,1960,262,-38,1104,-598,45,-438
315,0,223,1096,-77210,9170,1540,221,-19,1105,-592,70,-453
316,-21,193,1116,-77910,3780,4550,200,35,1134,-597,76,-444
317,-94,153,1236,-67200,-2030,7700,193,64,1216,-592,91,-451
318,-90,139,1225,-53270,-3850,5110,161,72,1213,-600,102,-460
319,-122,148,1186,-45150,210,-280,163,96,1185,-594,108,-462
320,-174,163,1209,-42140,3010,-4270,195,117,1247,-597,124,-457
321,-145,175,1253,-40530,2660,-4270,200,12,1298,-592,132,-460
322,-36,183,1323,-40670,6510,-6300,191,-96,1326,-586,138,-460
323,94,141,1329,-41370,9940,-7700,148,-119,1332,-582,151,-477
324,38,101,1320,-40810,11340,-6510,111,-55,1317,-585,174,-474
325,-16,65,1341,-37590,11480,-5180,65,3,1341,-582,177,-475
326,-32,-8,1363,-31010,12460,-7070,-7,16,1343,-585,184,-487
327,-60,-33,1343,-9590,13860,-9100,-14,50,1303,-592,195,-484
328,-97,-18,1224,2100,11830,-6650,0,65,1236,-589,202,-484
329,-91,-32,1184,11410,8260,-3430,-19,51,1157,-586,199,-481
330,-71,-27,1158,17220,3710,210,7,31,1139,-582,222,-481
331,-85,12,1137,19810,140,2240,140,248,1296,-591,216,-492
332,-338,188,1372,11690,-10220,700,315,369,1837,-574,226,-489
333,-378,266,1857,-18690,-86450,28700,90,-322,1578,-574,232,-483
334,259,-18,964,-42840,-67480,26460,-2,-265,991,-558,252,-483
335,-25,-150,792,-43750,-59430,9240,-133,14,794,-547,258,-484
336,-199,-239,805,-41650,-63910,5390,-226,168,795,-540,265,-477
337,89,-114,1108,-36190,-65660,12320,-84,-214,1252,-540,277,-486
338,427,42,1834,7980,54950,-7840,86,398,803,-550,277,-475
339,154,-160,1141,19460,5390,-4690,-229,-392,1192,-537,274,-486
340,364,-236,1047,40740,10570,9870,-184,-294,858,-540,274,-489
341,134,-128,847,58240,11480,13510,-78,-65,988,-547,265,-490
342,2,-57,1180,67690,-1400,5390,-25,41,1221,-544,262,-490
343,-50,4,1130,75390,-9100,-2660,376,-27,1287,-541,255,-489
344,-113,418,618,-38500,-5880,-4900,135,129,635,-538,256,-502
345,10,28,839,-32620,-1540,-8400,55,-129,823,-541,262,-490
346,-51,60,956,-19390,6020,-4550,62,41,891,-534,267,-496
347,78,61,1104,-12880,2100,1680,79,-162,1047,-538,268,-499
348,133,64,1048,-16800,9800,8260,142,-399,944,-543,271,-501
349,336,55,811,-18690,19390,13440,-59,-542,510,-547,273,-499
350,217,92,319,-74690,31780,32690,238,-129,613,-553,291,-502
351,-158,66,465,-15610,-2310,30730,42,-37,492,-534,295,-492
352,-40,-44,171,12670,-22260,33250,122,-50,579,-541,303,-501
353,-65,34,364,-7490,5390,37380,-65,13,299,-549,304,-504
354,-149,-52,642,-19250,20510,38570,45,142,702,-537,297,-502
355,-48,-71,271,-3990,2380,34230,56,24,825,-541,303,-495
356,-54,-41,838,-2170,70,31430,-49,83,792,-550,303,-501
357,-45,-26,948,-630,-420,28560,-13,-12,1064,-547,295,-493
358,-39,-83,916,-1470,-70,25620,-26,-5,1158,-546,303,-504
359,-25,-47,1034,-1260,-70,22610,-64,31,919,-546,297,-501
360,-21,-63,1000,-840,-420,19320,-35,12,1048,-553,297,-504
361,-34,-64,986,-2030,420,16520,-52,2,989,-541,304,-507
362,-16,-56,1037,-1750,210,10640,-48,7,969,-544,318,-510
363,-25,-55,1068,-280,-490,7770,-43,6,1084,-556,315,-508
364,-39,-77,943,-2310,490,4410,-63,23,927,-550,312,-507
365,-9,-25,1067,-70,-560,1260,-7,-19,1081,-544,313,-510
366,-13,-40,958,-1960,350,140,-27,-6,948,-547,316,-522
367,6,-9,1052,-350,-350,-210,-3,-28,1042,-546,306,-508
368,-8,-37,968,-1750,280,0,-17,-19,991,-550,303,-502
369,5,-13,1042,-560,-280,0,-12,-25,1010,-549,312,-505
370,-6,-34,974,-770,-140,-70,-7,-26,1021,-537,313,-508
371,-5,-31,980,-1330,70,0,-19,-22,990,-546,315,-505
372,3,-20,1029,-980,-70,-70,-5,-27,1034,-547,309,-507
